Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,Place,Points
1,8.5,,1,8.4575,,1,8.415,,1,8.3725,,1,8.33,,1,8.2875,,1,8.245,,1,8.2025,,1,8.16,,1,8.1175,,1,8.075,,1,8.0325,,1,7.99,,1,7.9475,,1,5.960625
2,8,,2,7.92890625,,2,7.854,,2,7.774464286,,2,7.689230769,,2,7.596875,,2,7.495454545,,2,7.38225,,2,7.253333333,,2,7.1028125,,2,6.921428571,,2,6.69375,,2,6.392,,2,5.960625,,2,3.97375
3,7.5,,3,7.4003125,,3,7.293,,3,7.176428571,,3,7.048461538,,3,6.90625,,3,6.745909091,,3,6.562,,3,6.346666667,,3,6.088125,,3,5.767857143,,3,5.355,,3,4.794,,3,3.97375,,3,1.986875
4,7,,4,6.87171875,,4,6.732,,4,6.578392857,,4,6.407692308,,4,6.215625,,4,5.996363636,,4,5.74175,,4,5.44,,4,5.0734375,,4,4.614285714,,4,4.01625,,4,3.196,,4,1.986875,,4,0
5,6.5,,5,6.343125,,5,6.171,,5,5.980357143,,5,5.766923077,,5,5.525,,5,5.246818182,,5,4.9215,,5,4.533333333,,5,4.05875,,5,3.460714286,,5,2.6775,,5,1.598,,5,0,,,
6,6,,6,5.81453125,,6,5.61,,6,5.382321429,,6,5.126153846,,6,4.834375,,6,4.497272727,,6,4.10125,,6,3.626666667,,6,3.0440625,,6,2.307142857,,6,1.33875,,6,0,,,,,,
7,5.5,,7,5.2859375,,7,5.049,,7,4.784285714,,7,4.485384615,,7,4.14375,,7,3.747727273,,7,3.281,,7,2.72,,7,2.029375,,7,1.153571429,,7,0,,,,,,,,,
8,5,,8,4.75734375,,8,4.488,,8,4.18625,,8,3.844615385,,8,3.453125,,8,2.998181818,,8,2.46075,,8,1.813333333,,8,1.0146875,,8,0,,,,,,,,,,,,
9,4.5,,9,4.22875,,9,3.927,,9,3.588214286,,9,3.203846154,,9,2.7625,,9,2.248636364,,9,1.6405,,9,0.9066666667,,9,0,,,,,,,,,,,,,,,
10,4,,10,3.70015625,,10,3.366,,10,2.990178571,,10,2.563076923,,10,2.071875,,10,1.499090909,,10,0.82025,,10,0,,,,,,,,,,,,,,,,,,
11,3.5,,11,3.1715625,,11,2.805,,11,2.392142857,,11,1.922307692,,11,1.38125,,11,0.7495454545,,11,0,,,,,,,,,,,,,,,,,,,,,
12,3,,12,2.64296875,,12,2.244,,12,1.794107143,,12,1.281538462,,12,0.690625,,12,0,,,,,,,,,,,,,,,,,,,,,,,,
13,2.5,,13,2.114375,,13,1.683,,13,1.196071429,,13,0.6407692308,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,,14,1.58578125,,14,1.122,,14,0.5980357143,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.5,,15,1.0571875,,15,0.561,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,16,0.52859375,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.5,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
